  Lines          Copies       Function name
     109 (0.1%)     1 (0.0%)  hashbrown::raw::RawTableInner<A>::fallible_with_capacity
     109 (0.1%)     1 (0.0%)  lang_frontend::inferer::Inferer::infer
     108 (0.1%)    36 (0.6%)  <chumsky::combinator::Then<A,B> as chumsky::Parser<I,(O,U)>>::parse_inner_silent
     108 (0.1%)    18 (0.3%)  core::ptr::mut_ptr::<impl *mut T>::is_null
     108 (0.1%)     4 (0.1%)  hashbrown::raw::Bucket<T>::next_n
     108 (0.1%)     4 (0.1%)  hashbrown::raw::RawTable<T,A>::reserve
     107 (0.1%)     6 (0.1%)  core::option::Option<T>::as_ref
     106 (0.1%)     3 (0.0%)  <core::option::Option<T> as core::hash::Hash>::hash
     106 (0.1%)     1 (0.0%)  <lang_frontend::tokenizer::Token as core::clone::Clone>::clone
     105 (0.1%)     5 (0.1%)  <chumsky::combinator::Or<A,B> as core::clone::Clone>::clone
     105 (0.1%)     1 (0.0%)  lang_frontend::inferer::Inferer::occurs_check
     104 (0.1%)     8 (0.1%)  <hashbrown::set::HashSet<T,S,A> as core::iter::traits::collect::Extend<T>>::extend
     104 (0.1%)     4 (0.1%)  <hashbrown::raw::RawIterHash<T,A> as core::iter::traits::iterator::Iterator>::next
     102 (0.1%)    17 (0.3%)  core::ptr::const_ptr::<impl *const T>::offset
     102 (0.1%)     8 (0.1%)  alloc::boxed::Box<T,A>::leak
     101 (0.1%)    26 (0.4%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::size_hint
     100 (0.1%)     8 (0.1%)  <chumsky::combinator::Label<A,L> as chumsky::Parser<I,O>>::parse_inner::{{closure}}
     100 (0.1%)     4 (0.1%)  <hashbrown::raw::RawIter<T> as core::iter::traits::iterator::Iterator>::next
     100 (0.1%)     4 (0.1%)  hashbrown::raw::RawTable<T,A>::iter
      99 (0.1%)     9 (0.1%)  <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
      99 (0.1%)     4 (0.1%)  hashbrown::raw::RawTable<T,A>::get_mut
      99 (0.1%)     1 (0.0%)  <lang_frontend::inferer::Type as core::fmt::Debug>::fmt
      98 (0.1%)     1 (0.0%)  core::ptr::drop_in_place<lang_frontend::ast::Ast>
      97 (0.1%)     1 (0.0%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::c_rounds
      96 (0.1%)     6 (0.1%)  core::alloc::layout::size_align
      96 (0.1%)     1 (0.0%)  <lang_frontend::tokenizer::Token as core::hash::Hash>::hash
      95 (0.1%)    15 (0.2%)  core::ptr::unique::Unique<T>::as_ref
      94 (0.1%)    19 (0.3%)  core::ptr::unique::Unique<T>::new_unchecked
      94 (0.1%)     1 (0.0%)  chumsky::recursive::OnceCell<T>::set
      93 (0.1%)     8 (0.1%)  <hashbrown::map::HashMap<K,V,S,A> as core::iter::traits::collect::Extend<(K,V)>>::extend::{{closure}}
      93 (0.1%)     5 (0.1%)  chumsky::Parser::recover_with
      93 (0.1%)     1 (0.0%)  hashbrown::raw::RawTableInner<A>::new_uninitialized
      92 (0.1%)    23 (0.4%)  <&T as chumsky::Parser<I,O>>::parse_inner
      92 (0.1%)     1 (0.0%)  <lang_frontend::inferer::Type as core::clone::Clone>::clone
      91 (0.0%)    21 (0.3%)  <T as core::convert::Into<U>>::into
      91 (0.0%)     7 (0.1%)  core::iter::adapters::map::map_try_fold
      90 (0.0%)    10 (0.2%)  alloc::vec::Vec<T,A>::as_ptr
      90 (0.0%)    10 (0.2%)  core::slice::raw::from_raw_parts_mut
      90 (0.0%)     9 (0.1%)  core::slice::<impl [T]>::len
      88 (0.0%)     4 (0.1%)  alloc::rc::RcInnerPtr::inc_strong
      88 (0.0%)     4 (0.1%)  hashbrown::raw::Bucket<T>::from_base_index
      88 (0.0%)     4 (0.1%)  hashbrown::raw::TableLayout::new
      88 (0.0%)     2 (0.0%)  alloc::boxed::Box<T,A>::try_new_uninit_in
      88 (0.0%)     1 (0.0%)  <hashbrown::raw::RawIterHashInner<A> as core::iter::traits::iterator::Iterator>::next
      86 (0.0%)     2 (0.0%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
      86 (0.0%)     1 (0.0%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
      86 (0.0%)     1 (0.0%)  alloc::str::<impl str>::replace
      86 (0.0%)     1 (0.0%)  lang_frontend::inferer::Inferer::get_most_concrete_type
